2015/01/28 17:50:38.420 ::: Debug -- USB Device #0 is UNattached.

2015/01/28 18:44:42.117 ::: Debug -- USB Device #? is UNattached.

2015/01/28 18:44:42.164 ::: Debug -- USB Device #0 is UNattached.

2015/01/28 18:44:42.222 ::: Debug -- USB Device #1 is UNattached.

2015/01/28 18:44:42.275 ::: Debug -- USB Device #2 is UNattached.

2015/01/28 18:44:42.345 ::: Debug -- USB Device #3 is UNattached.

2015/01/28 18:44:42.398 ::: Debug -- USB Device #4 is UNattached.

2015/01/28 18:44:42.456 ::: Debug -- USB Device #5 is UNattached.

2015/01/28 18:44:42.548 ::: Debug -- USB Device #6 is UNattached.

2015/01/28 18:44:42.622 ::: Debug -- USB Device #7 is UNattached.

2015/01/28 18:44:42.690 ::: Debug -- USB Device #8 is UNattached.

2015/01/28 18:44:42.742 ::: Debug -- USB Device #9 is UNattached.

2015/01/28 18:44:47.751 ::: Debug -- USB Device #? is UNattached.

2015/01/28 18:44:47.803 ::: Debug -- USB Device #0 is attached.

2015/01/28 18:44:47.811 ::: Debug -- USB Device #0 is attached.

2015/01/28 18:44:47.859 ::: Debug -- USB Device #1 is UNattached.

2015/01/28 18:44:47.922 ::: Debug -- USB Device #2 is UNattached.

2015/01/28 18:44:47.990 ::: Debug -- USB Device #3 is UNattached.

2015/01/28 18:44:48.060 ::: Debug -- USB Device #4 is UNattached.

2015/01/28 18:44:48.073 ::: Debug -- Q-Berry CNT Hz
QBW v1.0.0
(C)2015 David Quesenberry - http:/
2015/01/28 18:44:48.135 ::: Debug -- USB Device #5 is UNattached.

2015/01/28 18:44:48.195 ::: Debug -- USB Device #6 is UNattached.

2015/01/28 18:44:48.277 ::: Debug -- USB Device #7 is UNattached.

2015/01/28 18:44:48.292 ::: Debug -- /www.QBytesWorld.com
USB Device Initialised.
2015/01/28 18:44:48.349 ::: Debug -- USB Device #8 is UNattached.

2015/01/28 18:44:48.412 ::: Debug -- USB Device #9 is UNattached.

2015/01/28 18:44:48.428 ::: Debug --          0        12        D3        42        3B         0 -->    312,201,914     1,000,000  
2015/01/28 18:46:52.490 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:53.498 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:54.519 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:55.531 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:56.541 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:46:57.554 ::: Debug --          0         0         6        E3        2B         0 -->    448,078     1,000,000  

2015/01/28 18:46:58.577 ::: Debug --          0         0         F        42        3D         0 -->    992,266     1,000,000  

2015/01/28 18:46:59.388 ::: Debug --          0         0         F        42        3C         0 -->    992,265     1,000,000  

2015/01/28 18:47:00.397 ::: Debug --          0         0         F        42        3D         0 -->    992,266     1,000,000  

2015/01/28 18:47:01.408 ::: Debug --          0         0         9        FC        B2         0 -->    649,663     1,000,000  

2015/01/28 18:47:02.424 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:03.444 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:04.447 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:05.467 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:06.476 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:07.491 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:08.517 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:09.526 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:10.531 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:11.551 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:12.565 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:13.383 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:14.397 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:15.400 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:16.415 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:17.439 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:18.446 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:19.456 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:20.481 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:21.488 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:22.502 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:23.513 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:24.527 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:25.544 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:26.559 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:27.378 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:28.381 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:29.395 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:30.418 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:31.432 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:32.437 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:33.448 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:34.473 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:35.476 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:36.491 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:37.515 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:38.522 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:39.539 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:40.547 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:41.563 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:42.378 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:43.389 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:44.404 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:45.415 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:46.430 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:47.449 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:48.468 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:49.471 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:50.489 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:51.513 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:52.507 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:53.525 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:54.549 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:55.558 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:56.374 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:57.384 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:58.395 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:47:59.412 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:00.422 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:01.443 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:02.449 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:03.464 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:04.481 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:05.504 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:06.507 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:07.526 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:08.536 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:09.551 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:10.564 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:11.372 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:12.395 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:13.414 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:14.419 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:15.431 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:16.449 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:17.464 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:18.485 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:19.486 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:20.500 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:48:21.523 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

